trial,bg_repeat,wait_time,miss_trial
0,2,13.681639432907104,False
1,1,6.2267022132873535,False
2,1,2.9846067428588867,False
3,1,2.00809907913208,False
4,1,2.4607677459716797,False
5,1,0,True
6,1,2.3301281929016113,False
7,1,0.300567626953125,False
8,1,1.2774090766906738,False
9,1,2.2869832515716553,False
10,1,2.905540943145752,False
11,1,0.27762579917907715,False
12,1,1.593022108078003,False
13,1,0.5150871276855469,False
14,1,3.109588623046875,False
15,1,1.787264108657837,False
16,1,0.7969396114349365,False
17,1,1.892120599746704,False
18,1,0.3220508098602295,False
19,5,2.945039749145508,False
20,6,4.168282508850098,False
21,1,1.1282644271850586,False
22,5,2.621295213699341,False
23,1,0.5946469306945801,False
24,1,1.5052316188812256,False
25,1,1.877781867980957,False
26,1,1.1293065547943115,False
27,1,5.810941219329834,False
28,1,3.3053297996520996,False
